[('decibels', 'NNS')] 
[('', 'NN')] 
[('versus', 'NN')] 
[('transducer', 'NN')] 
[('separation', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('using', 'VBG')] 
[('splðxþ¼log', 'NN')] 
[('ðvðxþ=vðx', 'NN')] 
[('þþ', 'NN')] 
[('ð', 'NN')] 
[('þ', 'NN')] 
[('v', 'NN')] 
[('', 'NN')] 
[('x', 'NN')] 
[('', 'NN')] 
[('arrival', 'NN')] 
[('signal', 'NN')] 
[('voltage', 'NN')] 
[('x=x', 'NN')] 
[('andv', 'NN')] 
[('', 'NN')] 
[('x', 'NN')] 
[('', 'NN')] 
[('voltage', 'NN')] 
[('measurement', 'NN')] 
[('position', 'NN')] 
[('x', 'NN')] 
[('new', 'JJ')] 
[('parameter', 'NN')] 
[('defined', 'VBN')] 
[('using', 'VBG')] 
[('equation', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('quantify', 'VB')] 
[('effect', 'NN')] 
[('amplitude', 'NN')] 
[('', 'NN')] 
[('spl', 'NN')] 
[('', 'NN')] 
[('x', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('introducing', 'VBG')] 
[('discontinuity', 'NN')] 
[('specimen', 'NNS')] 
[('', 'NN')] 
[('ie', 'NN')] 
[('', 'NN')] 
[('simulating', 'VBG')] 
[('fracture', 'NN')] 
[('', 'NN')] 
[('difference', 'NN')] 
[('sound', 'NN')] 
[('pressure', 'NN')] 
[('levels', 'NNS')] 
[('', 'NN')] 
[('expressed', 'VBN')] 
[('fracture', 'NN')] 
[('transmission', 'NN')] 
[('loss', 'NN')] 
[('', 'NN')] 
[('ftl', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('given', 'VBN')] 
[('measurement', 'NN')] 
[('position', 'NN')] 
[('xis', 'NN')] 
[('calculated', 'VBN')] 
[('using', 'VBG')] 
[('ftl¼/c', 'NN')] 
[('ð', 'NN')] 
[('spl', 'NN')] 
[('fðxþ/cspl', 'NN')] 
[('iðxþþ', 'NN')] 
[('', 'NN')] 
[('ðþ', 'NN')] 
[('subscript', 'NN')] 
[('denotes', 'NNS')] 
[('intact', 'JJ')] 
[('specimen', 'NNS')] 
[('f', 'NN')] 
[('fractured', 'VBN')] 
[('specimen', 'NNS')] 
[('', 'NN')] 
[('parameters', 'NNS')] 
[('used', 'VBN')] 
[('throughout', 'IN')] 
[('paper', 'NN')] 
[('', 'NN')] 
[('notation', 'NN')] 
[('eq', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('areduction', 'NN')] 
[('signal', 'NN')] 
[('result', 'NN')] 
[('fracture', 'NN')] 
[('give', 'VB')] 
[('rise', 'NN')] 
[('positive', 'JJ')] 
[('ftl', 'NN')] 
[('', 'NN')] 
[('sawbones®', 'NN')] 
[('plates', 'NNS')] 
[('two', 'CD')] 
[('sawbones®', 'NN')] 
[('plates', 'NNS')] 
[('', 'NN')] 
[('consisting', 'VBG')] 
[('eglass', 'NN')] 
[('fibre', 'NN')] 
[('epoxy', 'NN')] 
[('resin', 'NN')] 
[('', 'NN')] 
[('used', 'VBN')] 
[('demonstrate', 'NN')] 
[('sensitivity', 'NN')] 
[('first', 'RB')] 
[('arrival', 'NN')] 
[('signal', 'NN')] 
[('attenuation', 'NN')] 
[('introduction', 'NN')] 
[('simple', 'NN')] 
[('transverse', 'NN')] 
[('fracture', 'NN')] 
[('', 'NN')] 
[('path', 'NN')] 
[('difference', 'NN')] 
[('immersionmeasurements', 'NNS')] 
